"Source(x,y)","Target(x,y)"
"(-10269.17415, 149957.4208)","(-10308.00978, 150027.72871)"
"(-11001.19172, 150193.41213)","(-10308.00978, 150027.72871)"
"(-8238.53978, 152081.52451)","(-8225.83968, 152085.49331)"
"(-8242.82872, 152715.03566)","(-8225.83968, 152085.49331)"
"(-8214.04646, 151962.82384)","(-8225.83968, 152085.49331)"
"(-8525.44954, 151951.95126)","(-8475.80968, 151789.95321)"
"(-8379.33824, 151854.72353)","(-8475.80968, 151789.95321)"
"(-9195.31222, 149600.1961)","(-9176.27018, 149207.79901)"
"(-9474.63396, 149158.3651)","(-9176.27018, 149207.79901)"
"(-9056.37368, 148999.23316)","(-9176.27018, 149207.79901)"
"(-9472.98618, 150472.18171)","(-9415.2196, 150279.71656)"
"(-9205.61003, 150261.34757)","(-9415.2196, 150279.71656)"
"(-9120.4257, 150476.53661)","(-9415.2196, 150279.71656)"
"(-9265.53118, 147888.80471)","(-9215.07328, 147944.18051)"
"(-8702.89838, 147929.52861)","(-9215.07328, 147944.18051)"
"(-9061.65446, 148023.46264)","(-9215.07328, 147944.18051)"
"(-9566.58245, 147840.83851)","(-9215.07328, 147944.18051)"
"(-8702.89838, 147929.52861)","(-8545.28478, 148132.46591)"
"(-8729.88683, 148121.06548)","(-8545.28478, 148132.46591)"
"(-8673.18784, 148556.63592)","(-8545.28478, 148132.46591)"
"(-10548.32915, 147694.4533)","(-10538.85278, 147698.32011)"
"(-8322.38385, 151946.31322)","(-8238.53978, 152081.52451)"
"(-8214.04646, 151962.82384)","(-8238.53978, 152081.52451)"
"(-9514.41648, 147613.78181)","(-9688.82758, 147359.73901)"
"(-9766.59483, 147443.89262)","(-9688.82758, 147359.73901)"
"(-9454.02002, 147560.1691)","(-9688.82758, 147359.73901)"
"(-10000.61717, 149694.17443)","(-9976.24618, 149694.22161)"
"(-9850.83509, 149543.57647)","(-9976.24618, 149694.22161)"
"(-9120.4257, 150476.53661)","(-9472.98618, 150472.18171)"
"(-9514.41648, 147613.78181)","(-9265.53118, 147888.80471)"
"(-9566.58245, 147840.83851)","(-9265.53118, 147888.80471)"
"(-9454.02002, 147560.1691)","(-9265.53118, 147888.80471)"
"(-10007.94106, 151006.20067)","(-10055.79168, 150750.85151)"
"(-9789.53378, 148484.73641)","(-9738.80558, 148537.42421)"
"(-9837.32306, 148579.28166)","(-9738.80558, 148537.42421)"
"(-9516.84491, 148293.55623)","(-9738.80558, 148537.42421)"
"(-9424.02391, 148616.83292)","(-9426.05538, 148523.91821)"
"(-9296.07777, 148364.1537)","(-9426.05538, 148523.91821)"
"(-9824.62006, 148522.68223)","(-9789.53378, 148484.73641)"
"(-9516.84491, 148293.55623)","(-9789.53378, 148484.73641)"
"(-8687.59806, 149113.73979)","(-8527.00488, 148818.23501)"
